Date,Type,Expense Category,Amount ($),Notes
3/24/2024,Income,Shipping Fees,"$1,645.15",Groceries
6/19/2025,Income,Shipping Fees,"$2,337.09",Family outing
11/16/2025,Income,Shipping Fees,$600.52,Course fee
5/14/2024,Income,Shipping Fees,"$1,145.78",Online purchase
1/10/2024,Income,Shipping Fees,"$1,554.79",Groceries
4/12/2024,Income,Shipping Fees,"$1,346.40",Streaming service
9/28/2024,Income,Shipping Fees,"$2,333.48",Online purchase
9/7/2024,Income,Shipping Fees,$716.04,Vacation booking
5/3/2026,Income,Shipping Fees,"$1,760.33",Groceries
4/6/2026,Income,Shipping Fees,$24.52,Streaming service
11/2/2024,Income,Shipping Fees,"$2,347.63",Office commute
9/27/2024,Income,Shipping Fees,"$2,224.83",Streaming service
6/8/2024,Income,Shipping Fees,$707.98,Family outing
1/4/2026,Income,Shipping Fees,$512.98,Utility bill
6/1/2025,Income,Shipping Fees,$631.55,Monthly payment
4/4/2024,Income,Shipping Fees,"$2,074.22",Monthly payment
1/4/2024,Income,Shipping Fees,"$1,928.94",Utility bill
6/14/2024,Income,Shipping Fees,"$1,381.44",Course fee
7/28/2025,Income,Shipping Fees,$284.13,Office commute
7/12/2025,Income,Shipping Fees,"$2,087.31",Groceries
7/19/2025,Income,Shipping Fees,"$1,077.32",Monthly payment
11/11/2024,Income,Shipping Fees,"$2,247.96",Monthly payment
1/1/2025,Income,Shipping Fees,"$1,706.76",Online purchase
12/28/2024,Income,Shipping Fees,"$2,210.92",Course fee
9/27/2025,Income,Shipping Fees,"$2,314.78",Family outing
6/15/2024,Income,Shipping Fees,"$2,204.13",Monthly payment
7/2/2024,Income,Shipping Fees,"$1,957.05",Course fee
4/1/2026,Income,Shipping Fees,$670.68,Online purchase
1/26/2025,Income,Shipping Fees,"$2,147.19",Family outing
7/23/2024,Income,Shipping Fees,$877.40,Family outing
8/16/2024,Income,Shipping Fees,"$1,651.78",Course fee
12/2/2024,Income,Shipping Fees,"$2,161.56",Utility bill
12/25/2024,Income,Shipping Fees,"$1,002.20",Streaming service
12/5/2024,Income,Shipping Fees,$292.78,Utility bill
7/1/2024,Income,Shipping Fees,"$2,406.52",Utility bill
2/9/2024,Income,Shipping Fees,"$1,493.45",Medical visit
1/16/2026,Income,Shipping Fees,"$1,093.80",Streaming service
4/28/2024,Income,Shipping Fees,"$2,249.26",Family outing
45552,Income,Shipping Fees,"$1,773.42",Monthly payment
45824,Income,Shipping Fees,"$1,718.71",Family outing
45664,Income,Shipping Fees,$179.58,Medical visit
45930,Income,Shipping Fees,"$1,660.15",Online purchase
46029,Income,Shipping Fees,"$1,270.27",Course fee
45626,Income,Shipping Fees,"$1,744.53",Streaming service
45422,Income,Shipping Fees,"$1,054.01",Course fee
45985,Income,Shipping Fees,"$1,540.71",Utility bill
45707,Income,Shipping Fees,"$2,085.14",Utility bill
45585,Income,Shipping Fees,"$1,077.57",Groceries
45913,Income,Shipping Fees,"$1,165.15",Vacation booking
45983,Income,Shipping Fees,"$1,280.38",Office commute
45966,Income,Shipping Fees,$713.05,Groceries
45635,Income,Shipping Fees,"$2,046.97",Family outing
45980,Income,Shipping Fees,$565.48,Family outing
45442,Income,Shipping Fees,$120.30,Vacation booking
45917,Income,Shipping Fees,"$1,141.26",Groceries
45491,Income,Shipping Fees,"$1,238.47",Family outing
45443,Income,Shipping Fees,"$2,232.19",Online purchase
46089,Income,Shipping Fees,$551.01,Streaming service
45767,Income,Shipping Fees,"$1,395.73",Online purchase
45759,Income,Shipping Fees,"$2,004.53",Streaming service
45864,Income,Shipping Fees,$796.66,Vacation booking
45919,Income,Shipping Fees,"$1,069.72",Streaming service
45748,Income,Shipping Fees,"$1,860.42",Vacation booking
45752,Income,Shipping Fees,"$1,880.68",Utility bill
46076,Income,Shipping Fees,"$1,214.07",Family outing
45573,Income,Shipping Fees,$198.32,Utility bill
45532,Income,Shipping Fees,$842.94,Streaming service
45374,Income,Shipping Fees,$381.32,Course fee
46002,Income,Shipping Fees,"$1,767.52",Online purchase
45716,Income,Shipping Fees,$830.55,Vacation booking
45717,Income,Shipping Fees,$521.05,Course fee
45690,Income,Shipping Fees,"$2,365.42",Monthly payment
46169,Income,Shipping Fees,$954.05,Monthly payment
45652,Income,Shipping Fees,"$1,884.92",Course fee
45843,Income,Shipping Fees,"$2,000.67",Family outing
45791,Income,Shipping Fees,$685.97,Vacation booking
45321,Income,Shipping Fees,$843.64,Course fee
46033,Income,Shipping Fees,"$2,102.06",Office commute
45929,Income,Shipping Fees,$72.28,Course fee
45898,Income,Shipping Fees,"$1,659.18",Online purchase
45950,Income,Shipping Fees,$343.57,Vacation booking
45478,Income,Shipping Fees,$654.09,Medical visit
45508,Income,Shipping Fees,$820.48,Course fee
45576,Income,Shipping Fees,$634.42,Online purchase
45773,Income,Shipping Fees,"$1,873.82",Monthly payment
45650,Income,Shipping Fees,"$1,627.11",Monthly payment
46064,Income,Shipping Fees,"$2,374.28",Family outing
46151,Income,Shipping Fees,"$1,555.23",Family outing
45421,Income,Shipping Fees,"$1,675.30",Groceries
45515,Income,Shipping Fees,"$1,750.17",Medical visit
45463,Income,Shipping Fees,"$1,520.08",Online purchase
46088,Income,Shipping Fees,"$2,411.98",Online purchase
45884,Income,Shipping Fees,"$2,322.57",Groceries
45985,Income,Shipping Fees,$994.65,Family outing
45369,Income,Shipping Fees,"$1,728.08",Family outing
45396,Income,Shipping Fees,"$2,126.48",Groceries
46116,Income,Shipping Fees,"$1,991.59",Groceries
46093,Income,Shipping Fees,$871.27,Course fee
45969,Income,Shipping Fees,$177.05,Medical visit
45304,Income,Shipping Fees,"$2,056.72",Online purchase
45735,Income,Shipping Fees,"$1,590.78",Vacation booking
46016,Income,Shipping Fees,"$1,091.54",Streaming service
45958,Income,Shipping Fees,"$1,541.70",Streaming service
46085,Income,Shipping Fees,"$1,164.86",Groceries
45566,Income,Shipping Fees,"$2,130.02",Online purchase
45577,Income,Shipping Fees,$613.44,Vacation booking
45875,Income,Shipping Fees,"$1,672.13",Medical visit
45321,Income,Shipping Fees,"$2,128.13",Office commute
45791,Income,Shipping Fees,$890.29,Utility bill
45640,Income,Shipping Fees,"$2,201.40",Utility bill
45861,Income,Shipping Fees,"$1,293.98",Family outing
45379,Income,Shipping Fees,"$1,801.59",Vacation booking
45860,Income,Shipping Fees,"$1,728.07",Vacation booking
45750,Income,Shipping Fees,$237.17,Family outing
45706,Income,Shipping Fees,$768.98,Groceries
45669,Income,Shipping Fees,"$1,385.92",Medical visit
45727,Income,Shipping Fees,$830.32,Vacation booking
45569,Income,Shipping Fees,$632.25,Online purchase
46030,Income,Shipping Fees,$792.29,Streaming service
46072,Income,Shipping Fees,$482.89,Vacation booking
45575,Income,Shipping Fees,"$2,441.63",Streaming service
45903,Income,Shipping Fees,"$2,451.37",Family outing
45595,Income,Shipping Fees,$905.40,Utility bill
45306,Income,Shipping Fees,$320.82,Monthly payment
45347,Income,Shipping Fees,$733.88,Office commute
45945,Income,Shipping Fees,$260.96,Monthly payment
45879,Income,Shipping Fees,"$1,176.15",Vacation booking
45640,Income,Shipping Fees,"$2,413.92",Utility bill
45781,Income,Shipping Fees,"$2,056.18",Course fee
45795,Income,Shipping Fees,"$1,444.67",Monthly payment
45447,Income,Shipping Fees,"$2,028.80",Utility bill
45379,Income,Shipping Fees,$300.54,Course fee
45912,Income,Shipping Fees,"$1,977.90",Family outing
46086,Income,Shipping Fees,$954.04,Vacation booking
45596,Income,Shipping Fees,"$2,475.13",Utility bill
45874,Income,Shipping Fees,$155.27,Online purchase
46073,Income,Shipping Fees,"$1,565.66",Utility bill
45968,Income,Shipping Fees,$396.86,Office commute
45857,Income,Shipping Fees,$395.55,Course fee
45753,Income,Shipping Fees,"$1,177.43",Monthly payment
45529,Income,Shipping Fees,"$1,768.85",Vacation booking
45364,Income,Shipping Fees,"$2,310.16",Groceries
45969,Income,Shipping Fees,"$1,065.72",Streaming service
45522,Income,Shipping Fees,"$2,271.49",Office commute
45365,Income,Shipping Fees,$418.98,Utility bill
45901,Income,Shipping Fees,"$2,303.38",Vacation booking
45419,Income,Shipping Fees,"$1,723.25",Course fee
45570,Income,Shipping Fees,"$1,352.25",Vacation booking
45374,Income,Shipping Fees,$104.45,Course fee
46044,Income,Shipping Fees,"$1,511.27",Monthly payment
45385,Income,Shipping Fees,"$2,404.97",Groceries
45893,Income,Shipping Fees,"$2,498.93",Utility bill
45882,Income,Shipping Fees,"$1,908.96",Office commute
45773,Income,Shipping Fees,"$1,630.52",Utility bill
45477,Income,Shipping Fees,"$1,092.53",Vacation booking
45385,Income,Shipping Fees,$873.16,Medical visit
45620,Income,Shipping Fees,"$2,145.04",Medical visit
45713,Income,Shipping Fees,$724.10,Course fee
46125,Income,Shipping Fees,$96.56,Online purchase
45614,Income,Shipping Fees,$811.57,Course fee
45818,Income,Shipping Fees,"$1,645.86",Streaming service
45765,Income,Shipping Fees,$140.24,Streaming service
45662,Income,Shipping Fees,"$1,892.33",Vacation booking
46070,Income,Shipping Fees,$512.88,Streaming service
45426,Income,Shipping Fees,"$1,098.10",Vacation booking
45416,Income,Shipping Fees,"$2,433.00",Groceries
46110,Income,Shipping Fees,"$1,775.91",Utility bill
45856,Income,Shipping Fees,"$1,382.87",Online purchase
45522,Income,Shipping Fees,"$1,156.31",Online purchase
45955,Income,Shipping Fees,"$1,248.45",Utility bill
45813,Income,Shipping Fees,"$1,041.65",Vacation booking
45775,Income,Shipping Fees,"$1,144.68",Office commute
45684,Income,Shipping Fees,"$2,305.06",Streaming service
46056,Income,Shipping Fees,"$2,160.75",Utility bill
46083,Income,Shipping Fees,$852.99,Streaming service
45565,Income,Shipping Fees,$710.68,Utility bill
46149,Income,Shipping Fees,"$1,451.91",Vacation booking
45444,Income,Shipping Fees,"$1,348.76",Medical visit
45632,Income,Shipping Fees,"$1,908.37",Course fee
45758,Income,Shipping Fees,"$2,174.66",Family outing
45877,Income,Shipping Fees,$587.74,Course fee
45336,Income,Shipping Fees,"$1,863.04",Course fee
45687,Income,Shipping Fees,"$1,240.84",Monthly payment
45421,Income,Shipping Fees,"$2,413.56",Medical visit
45394,Income,Shipping Fees,$253.78,Vacation booking
45307,Income,Shipping Fees,"$1,027.90",Office commute
45368,Income,Shipping Fees,"$1,954.91",Utility bill
45638,Income,Shipping Fees,"$1,733.30",Online purchase
46164,Income,Shipping Fees,"$2,131.59",Streaming service
45681,Income,Shipping Fees,"$1,568.86",Vacation booking
45846,Income,Shipping Fees,"$1,545.56",Family outing
45938,Income,Shipping Fees,"$2,493.58",Online purchase
45736,Income,Shipping Fees,"$1,902.12",Online purchase
45746,Income,Shipping Fees,"$1,736.53",Monthly payment
45339,Income,Shipping Fees,"$1,991.38",Utility bill
45659,Income,Shipping Fees,"$1,079.56",Family outing
45835,Income,Shipping Fees,"$1,416.99",Office commute
45466,Income,Shipping Fees,$202.03,Course fee
45926,Income,Shipping Fees,"$1,246.68",Groceries
45438,Income,Shipping Fees,"$1,155.57",Utility bill
45762,Income,Shipping Fees,"$1,668.77",Vacation booking
45586,Income,Shipping Fees,$399.15,Vacation booking
45645,Income,Shipping Fees,$751.39,Course fee
45998,Income,Shipping Fees,"$1,144.81",Utility bill
45495,Income,Shipping Fees,"$2,134.07",Online purchase
45534,Income,Shipping Fees,"$1,431.95",Groceries
45594,Income,Shipping Fees,$59.74,Course fee
45573,Income,Shipping Fees,"$1,416.99",Monthly payment
45912,Income,Shipping Fees,"$2,082.93",Utility bill
46086,Income,Shipping Fees,"$1,519.63",Medical visit
45516,Income,Shipping Fees,"$1,554.12",Office commute
45935,Income,Shipping Fees,"$2,258.99",Monthly payment
45608,Income,Shipping Fees,$88.24,Medical visit
46041,Income,Shipping Fees,$229.88,Utility bill
45626,Income,Shipping Fees,$443.22,Office commute
46097,Income,Shipping Fees,"$2,191.77",Medical visit
45835,Income,Shipping Fees,"$2,284.15",Office commute
45555,Income,Shipping Fees,"$2,418.62",Utility bill
46056,Income,Shipping Fees,"$2,011.56",Vacation booking
45369,Income,Shipping Fees,"$1,886.61",Family outing
46172,Income,Shipping Fees,"$2,418.34",Streaming service
45666,Income,Shipping Fees,"$1,977.75",Monthly payment
45562,Income,Shipping Fees,$313.35,Medical visit
45980,Income,Shipping Fees,"$1,463.48",Medical visit
45402,Income,Shipping Fees,"$1,181.33",Groceries
45866,Income,Shipping Fees,"$2,288.56",Family outing
45955,Income,Shipping Fees,"$1,590.33",Vacation booking
46009,Income,Shipping Fees,"$1,624.85",Online purchase
45435,Income,Shipping Fees,"$2,365.92",Utility bill
45796,Income,Shipping Fees,$247.49,Streaming service
45430,Income,Shipping Fees,"$1,136.84",Streaming service
45721,Income,Shipping Fees,"$1,856.96",Office commute
45716,Income,Shipping Fees,"$2,085.06",Groceries
45709,Income,Shipping Fees,$86.63,Medical visit
45514,Income,Shipping Fees,"$1,114.52",Family outing
46167,Income,Shipping Fees,$252.89,Medical visit
45849,Income,Shipping Fees,$156.07,Utility bill
45486,Income,Shipping Fees,"$2,372.78",Vacation booking
45385,Income,Shipping Fees,"$1,606.05",Groceries
45313,Income,Shipping Fees,"$1,968.05",Family outing
45420,Income,Shipping Fees,$516.99,Streaming service
45504,Income,Shipping Fees,$543.80,Family outing
45628,Income,Shipping Fees,"$1,972.67",Groceries
45294,Income,Shipping Fees,"$2,146.72",Office commute
45425,Income,Shipping Fees,$630.38,Office commute
45404,Income,Shipping Fees,$333.85,Medical visit
46100,Income,Shipping Fees,"$1,474.19",Monthly payment
45470,Income,Shipping Fees,$135.74,Course fee
45830,Income,Shipping Fees,"$1,865.43",Vacation booking
45751,Income,Shipping Fees,"$1,285.53",Online purchase
45754,Income,Shipping Fees,$557.77,Groceries
45336,Income,Shipping Fees,$757.57,Monthly payment
45354,Income,Shipping Fees,"$2,119.01",Course fee
45994,Income,Shipping Fees,"$1,228.22",Vacation booking
45367,Income,Shipping Fees,$808.67,Office commute
45359,Income,Shipping Fees,$691.16,Groceries
45853,Income,Shipping Fees,$955.36,Groceries
45835,Income,Shipping Fees,"$1,137.02",Groceries
45732,Income,Shipping Fees,"$1,983.77",Online purchase
46165,Income,Shipping Fees,"$1,803.50",Family outing
45732,Income,Shipping Fees,"$2,220.79",Course fee
45639,Income,Shipping Fees,$999.83,Online purchase
45612,Income,Shipping Fees,$784.75,Utility bill
45675,Income,Shipping Fees,"$1,718.62",Vacation booking
45360,Income,Shipping Fees,"$2,080.27",Online purchase
45734,Income,Shipping Fees,"$1,862.75",Medical visit
46123,Income,Shipping Fees,"$1,393.14",Groceries
45867,Income,Shipping Fees,$827.47,Online purchase
45712,Income,Shipping Fees,"$2,184.65",Course fee
46030,Income,Shipping Fees,"$2,421.15",Groceries
45611,Income,Shipping Fees,$263.48,Streaming service
45509,Income,Shipping Fees,"$1,643.56",Family outing
46159,Income,Shipping Fees,$878.53,Streaming service
45668,Income,Shipping Fees,"$1,907.70",Groceries
45523,Income,Shipping Fees,"$2,113.66",Groceries
45920,Income,Shipping Fees,$70.50,Utility bill
45321,Income,Shipping Fees,$686.81,Utility bill
45639,Income,Shipping Fees,$20.23,Office commute
45871,Income,Shipping Fees,$178.62,Monthly payment
45385,Income,Shipping Fees,$541.76,Course fee
45756,Income,Shipping Fees,$397.74,Utility bill
46030,Income,Shipping Fees,"$1,943.20",Groceries
45902,Income,Shipping Fees,"$2,208.94",Office commute
45453,Income,Shipping Fees,$129.16,Online purchase
45570,Income,Shipping Fees,"$1,656.54",Vacation booking
45913,Income,Shipping Fees,"$1,038.39",Family outing
46065,Income,Shipping Fees,$288.97,Course fee
45405,Income,Shipping Fees,"$1,697.15",Groceries
45790,Income,Shipping Fees,"$1,669.50",Monthly payment
45517,Income,Shipping Fees,"$2,461.19",Monthly payment
45299,Income,Shipping Fees,$757.04,Family outing
46077,Income,Shipping Fees,"$1,911.58",Utility bill
45627,Income,Shipping Fees,$24.29,Course fee
45471,Income,Shipping Fees,$953.62,Family outing
45804,Income,Shipping Fees,"$2,084.22",Medical visit
45365,Income,Shipping Fees,"$2,155.10",Monthly payment
45738,Income,Shipping Fees,"$1,152.09",Online purchase
45612,Income,Shipping Fees,"$1,076.06",Course fee
46018,Income,Shipping Fees,$727.34,Course fee
45313,Income,Shipping Fees,$433.82,Groceries
45763,Income,Shipping Fees,$224.88,Online purchase
45541,Income,Shipping Fees,"$1,474.23",Streaming service
45372,Income,Shipping Fees,"$2,176.96",Medical visit
45518,Income,Shipping Fees,"$1,948.90",Online purchase
45814,Income,Shipping Fees,"$1,328.86",Family outing
46086,Income,Shipping Fees,$880.99,Office commute
45533,Income,Shipping Fees,$370.38,Family outing
45469,Income,Shipping Fees,$386.41,Online purchase
45473,Income,Shipping Fees,"$1,162.56",Groceries
46070,Income,Shipping Fees,"$1,125.02",Groceries
45950,Income,Shipping Fees,$811.40,Medical visit
45446,Income,Shipping Fees,$175.37,Vacation booking
45938,Income,Shipping Fees,"$1,991.84",Groceries
45349,Income,Shipping Fees,"$1,270.81",Utility bill
45764,Income,Shipping Fees,$98.83,Medical visit
46143,Income,Shipping Fees,$196.44,Online purchase
45921,Income,Shipping Fees,"$1,270.13",Vacation booking
45886,Income,Shipping Fees,"$2,385.81",Monthly payment
45752,Income,Shipping Fees,"$1,631.33",Medical visit
45911,Income,Shipping Fees,"$1,255.91",Monthly payment
45753,Income,Shipping Fees,"$2,028.36",Medical visit
46023,Income,Shipping Fees,"$1,263.85",Office commute
45332,Income,Shipping Fees,"$1,770.52",Vacation booking
45828,Income,Shipping Fees,"$1,526.46",Medical visit
45673,Income,Shipping Fees,$971.60,Medical visit
45987,Income,Shipping Fees,$135.65,Medical visit
45359,Income,Shipping Fees,$240.79,Course fee
45582,Income,Shipping Fees,"$1,810.72",Groceries
45445,Income,Shipping Fees,$208.35,Office commute
45650,Income,Shipping Fees,"$2,419.40",Course fee
45424,Income,Shipping Fees,"$1,773.54",Online purchase
45609,Income,Shipping Fees,$944.81,Medical visit
46124,Income,Shipping Fees,"$1,676.94",Streaming service
45387,Income,Shipping Fees,"$1,273.68",Monthly payment
45663,Income,Shipping Fees,$454.76,Family outing
45641,Income,Shipping Fees,$484.05,Office commute
45450,Income,Shipping Fees,$743.00,Online purchase
45811,Income,Shipping Fees,"$2,088.62",Streaming service
45330,Income,Shipping Fees,"$2,191.60",Groceries
45426,Income,Shipping Fees,$944.92,Office commute
45477,Income,Shipping Fees,"$2,023.56",Office commute
46030,Income,Shipping Fees,$114.01,Medical visit
45984,Income,Shipping Fees,"$2,424.12",Groceries
45583,Income,Shipping Fees,$588.84,Family outing
45608,Income,Shipping Fees,"$2,260.42",Family outing
45668,Income,Shipping Fees,"$2,461.18",Vacation booking
46079,Income,Shipping Fees,"$1,946.42",Streaming service
45832,Income,Shipping Fees,"$2,415.84",Family outing
46112,Income,Shipping Fees,$350.30,Utility bill
45345,Income,Shipping Fees,"$2,185.92",Streaming service
45397,Income,Shipping Fees,"$2,128.66",Utility bill
45377,Income,Shipping Fees,$685.61,Streaming service
45442,Income,Shipping Fees,$233.83,Family outing
46128,Income,Shipping Fees,"$2,212.15",Monthly payment
45716,Income,Shipping Fees,$994.15,Medical visit
45533,Income,Shipping Fees,"$2,486.34",Medical visit
45521,Income,Shipping Fees,$800.12,Online purchase
46151,Income,Shipping Fees,"$1,979.49",Office commute
45331,Income,Shipping Fees,"$2,293.90",Vacation booking
46004,Income,Shipping Fees,"$1,898.31",Vacation booking
45751,Income,Shipping Fees,$18.10,Online purchase
45311,Income,Shipping Fees,$543.06,Office commute
45853,Income,Shipping Fees,"$1,321.79",Online purchase
46086,Income,Shipping Fees,$597.91,Online purchase
45340,Income,Shipping Fees,"$1,052.46",Groceries
45760,Income,Shipping Fees,$281.59,Vacation booking
45903,Income,Shipping Fees,$46.01,Streaming service
45880,Income,Shipping Fees,"$1,797.77",Utility bill
45731,Income,Shipping Fees,"$1,538.95",Family outing
45876,Income,Shipping Fees,$472.35,Online purchase
45828,Income,Shipping Fees,$173.86,Streaming service
45849,Income,Shipping Fees,"$1,967.10",Streaming service
45859,Income,Shipping Fees,$979.18,Vacation booking
45336,Income,Shipping Fees,"$2,452.69",Utility bill
46057,Income,Shipping Fees,$895.95,Online purchase
45645,Income,Shipping Fees,"$1,833.69",Online purchase
46082,Income,Shipping Fees,"$1,839.29",Medical visit
45428,Income,Shipping Fees,$883.99,Medical visit
46125,Income,Shipping Fees,"$2,076.81",Vacation booking
46004,Income,Shipping Fees,"$1,581.18",Office commute
45356,Income,Shipping Fees,$97.27,Family outing
45336,Income,Shipping Fees,"$2,215.05",Medical visit
45609,Income,Shipping Fees,$998.57,Streaming service
45776,Income,Shipping Fees,$96.37,Family outing
45584,Income,Shipping Fees,"$2,156.04",Monthly payment
45963,Income,Shipping Fees,$686.68,Medical visit
45739,Income,Shipping Fees,"$1,859.55",Course fee
45639,Income,Shipping Fees,"$1,243.03",Vacation booking
45668,Income,Shipping Fees,$670.47,Online purchase
46036,Income,Shipping Fees,$201.92,Groceries
46134,Income,Shipping Fees,"$1,365.96",Medical visit
45397,Income,Shipping Fees,$823.16,Utility bill
45605,Income,Shipping Fees,"$1,508.54",Course fee
45462,Income,Shipping Fees,$882.11,Monthly payment
46036,Income,Shipping Fees,"$1,539.05",Course fee
45573,Income,Shipping Fees,$192.23,Course fee
45664,Income,Shipping Fees,"$2,003.73",Office commute
45323,Income,Shipping Fees,"$2,122.43",Vacation booking
45327,Income,Shipping Fees,$172.75,Medical visit
45662,Income,Shipping Fees,"$2,373.92",Monthly payment
45911,Income,Shipping Fees,"$1,699.26",Medical visit
45672,Income,Shipping Fees,"$1,908.90",Groceries
45432,Income,Shipping Fees,$920.54,Medical visit
45957,Income,Shipping Fees,$627.78,Online purchase
45318,Income,Shipping Fees,"$1,250.11",Course fee
45867,Income,Shipping Fees,$658.13,Utility bill
46012,Income,Shipping Fees,$540.35,Groceries
45584,Income,Shipping Fees,$504.44,Office commute
46165,Income,Shipping Fees,"$1,132.85",Vacation booking
45381,Income,Shipping Fees,"$1,671.26",Online purchase
45855,Income,Shipping Fees,$729.45,Utility bill
46163,Income,Shipping Fees,"$1,780.96",Office commute
46104,Income,Shipping Fees,"$1,274.35",Online purchase
45497,Income,Shipping Fees,$595.66,Vacation booking
45318,Income,Shipping Fees,"$1,387.28",Medical visit
45770,Income,Shipping Fees,$328.78,Online purchase
45359,Income,Shipping Fees,$998.41,Vacation booking
45830,Income,Shipping Fees,"$1,924.07",Groceries
45367,Income,Shipping Fees,"$2,431.09",Online purchase
45752,Income,Shipping Fees,"$1,701.87",Medical visit
45423,Income,Shipping Fees,"$1,601.29",Office commute
46078,Income,Shipping Fees,"$1,084.38",Monthly payment
46143,Income,Shipping Fees,"$1,297.66",Utility bill
45460,Income,Shipping Fees,$810.04,Family outing
45646,Income,Shipping Fees,"$2,237.84",Online purchase
45548,Income,Shipping Fees,"$1,589.47",Streaming service
45573,Income,Shipping Fees,"$1,564.43",Groceries
45838,Income,Shipping Fees,"$1,258.92",Office commute
45898,Income,Shipping Fees,$389.71,Groceries
46029,Income,Shipping Fees,$847.36,Groceries
45334,Income,Shipping Fees,$207.65,Groceries
